Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666913725.3317807,0,84922,0,GPS1_Frame,42.33698616666667,-71.089825,12.7,327838.2141824103,4689307.594340877,19.0,T
1666913727.1469698,0,84923,0,GPS1_Frame,42.33698583333333,-71.08982466666666,12.7,327838.24073422037,4689307.556651853,19.0,T
1666913728.9623504,0,84924,0,GPS1_Frame,42.33698566666667,-71.0898245,12.7,327838.2540101224,4689307.5378073435,19.0,T
1666913730.778282,0,84924,0,GPS1_Frame,42.33698533333333,-71.08982533333332,12.8,327838.1844467879,4689307.502480454,19.0,T
1666913732.5923588,0,84925,0,GPS1_Frame,42.336984666666666,-71.0898265,12.9,327838.08651231905,4689307.430814331,19.0,T
1666913734.407496,0,84926,0,GPS1_Frame,42.336984,-71.0898275,12.8,327838.00230858335,4689307.358810763,19.0,T
1666913736.226076,0,84927,0,GPS1_Frame,42.33698316666667,-71.08982833333333,12.8,327837.93138075183,4689307.267962685,19.0,T
1666913738.0414658,0,84929,0,GPS1_Frame,42.336982000000006,-71.089829,12.7,327837.87327399105,4689307.139763031,19.0,T
1666913739.8561103,0,84930,0,GPS1_Frame,42.33698033333334,-71.08983016666666,12.7,327837.77261052205,4689306.957054531,19.0,T
1666913741.6732476,0,84931,0,GPS1_Frame,42.336979166666666,-71.08983116666667,12.8,327837.68704228196,4689306.829529776,19.0,T
1666913743.4876645,0,84932,0,GPS1_Frame,42.33697816666666,-71.08983199999999,12.9,327837.6156596093,4689306.720174637,19.0,T
1666913745.301603,0,84933,0,GPS1_Frame,42.336977499999996,-71.0898325,12.9,327837.57264806976,4689306.647158729,19.0,T
1666913747.118281,0,84934,0,GPS1_Frame,42.33697633333333,-71.08983266666668,13.0,327837.5557335081,4689306.517946732,19.0,T
1666913748.529644,0,84948,0,GPS1_Frame,42.336976166666666,-71.08983883333333,11.6,327837.0472414065,4689306.511925282,19.0,T
1666913751.754266,0,84949,0,GPS1_Frame,42.33698,-71.08983983333333,11.7,327836.97531816026,4689306.939612441,19.0,T
1666913753.5679982,0,84950,0,GPS1_Frame,42.33698266666667,-71.0898385,11.3,327837.0924413852,4689307.23302586,19.0,T
1666913755.3836825,0,84951,0,GPS1_Frame,42.336985500000004,-71.08983716666667,10.8,327837.2100194345,4689307.544946346,19.0,T
1666913757.1993697,0,84952,0,GPS1_Frame,42.336987833333325,-71.089836,10.3,327837.3125022412,4689307.80168309,19.0,T
1666913759.014815,0,84953,0,GPS1_Frame,42.336989833333334,-71.08983450000001,9.9,327837.4415368432,4689308.020730812,19.0,T
1666913760.8294246,0,84954,0,GPS1_Frame,42.336992333333335,-71.08983316666666,9.5,327837.5582052034,4689308.2956371745,19.0,T
